InChI,Cdk.KierHallSmarts.khs.ssS,Cdk.ChiCluster.VC-5,Cdk.AutocorrelationPolarizability.ATSp2,Cdk.KappaShapeIndices.Kier3,Cdk.AutocorrelationCharge.ATSc5,Cdk.PetitjeanShapeIndex.topoShape,Cdk.ChiCluster.SC-5,Cdk.CarbonTypes.C2SP2,Cdk.AutocorrelationPolarizability.ATSp3,Cdk.CarbonTypes.C1SP2,Cdk.CarbonTypes.C2SP3,Cdk.AutocorrelationPolarizability.ATSp4,Cdk.KierHallSmarts.khs.dO,Cdk.ChiPathCluster.SPC-4,Cdk.CarbonTypes.C1SP3,Cdk.WienerNumbers.WPATH,Cdk.MDE.MDEC-12,Cdk.MDE.MDEC-33,Cdk.AutocorrelationPolarizability.ATSp5,Cdk.ChiPathCluster.SPC-5,Cdk.MDE.MDEC-13,Cdk.ChiPathCluster.SPC-6,Cdk.ChiChain.SCH-5,Cdk.KierHallSmarts.khs.dsN,Cdk.PetitjeanNumber.PetitjeanNumber,Cdk.ChiChain.SCH-6,Cdk.MDE.MDEO-11,Cdk.KierHallSmarts.khs.sssN,Cdk.ChiChain.SCH-7,Cdk.MDE.MDEN-22,Cdk.EccentricConnectivityIndex.ECCEN,Cdk.KierHallSmarts.khs.sOH,Cdk.MDE.MDEO-12,Cdk.ChiChain.VCH-5,Cdk.ChiPath.VP-0,Cdk.ChiPath.VP-1,Cdk.ChiChain.VCH-6,Cdk.AutocorrelationMass.ATSm1,Cdk.ChiPath.VP-2,Cdk.KierHallSmarts.khs.ssCH2,Cdk.ChiChain.VCH-7,Cdk.AutocorrelationMass.ATSm2,Cdk.ChiPath.VP-3,Cdk.TPSA.TopoPSA,Cdk.MDE.MDEC-22,Cdk.ChiPath.SP-3,Cdk.ChiPath.VP-4,Cdk.MDE.MDEC-23,Cdk.AutocorrelationMass.ATSm3,Cdk.ChiPath.VP-5,Cdk.KierHallSmarts.khs.sCl,Cdk.AutocorrelationMass.ATSm4,Cdk.ChiPath.SP-4,Cdk.ChiPath.VP-6,Cdk.KierHallSmarts.khs.ssO,Cdk.AutocorrelationMass.ATSm5,Cdk.PetitjeanShapeIndex.geomShape,Cdk.AutocorrelationCharge.ATSc1,Cdk.KierHallSmarts.khs.aaCH,Cdk.ChiPathCluster.VPC-4,Cdk.ChiPath.SP-5,Cdk.ChiPath.VP-7,Cdk.MDE.MDEO-22,Cdk.AutocorrelationCharge.ATSc2,Cdk.ChiPathCluster.VPC-5,Cdk.ChiPath.SP-6,Cdk.KappaShapeIndices.Kier1,Cdk.ChiPath.SP-7,Cdk.AutocorrelationCharge.ATSc3,Cdk.ChiCluster.VC-3,Cdk.ChiPathCluster.VPC-6,Cdk.FragmentComplexity.fragC,Cdk.KierHallSmarts.khs.dssC,Cdk.ChiCluster.VC-4,Cdk.ChiCluster.SC-3,Cdk.AutocorrelationPolarizability.ATSp1,Cdk.KierHallSmarts.khs.dsssP,Cdk.KappaShapeIndices.Kier2,Cdk.AutocorrelationCharge.ATSc4
"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)",0.0,0.011180339887498949,538.535601457016,6.1875,0.33376776295948657,0.8,0.11785113019775793,1.0,616.2365322708437,1.0,0.0,608.0355460325011,0.0,1.4092425024487352,2.0,344.0,1.0339463079143412,1.6509636244473134,541.0295775491179,2.083588584443494,1.38959662104197,2.0353124896176733,0.0,3.0,0.4444444444444444,0.0,0.25,0.0,0.0,0.9654893846056297,174.0,2.0,0.4082482904638629,0.0,7.798636644650161,3.679404607752158,0.0,17.763328311728763,1.9440233210277773,1.0,0.0,15.546829127546982,1.005716222830763,110.56,0.16666666666666669,3.544209560975315,0.5269732410524872,2.29417347399519,18.681640645824128,0.2001485274960069,0.0,19.93070179513674,2.699578916226588,0.08074884318660666,1.0,21.2854945144313,0.807155488219005,0.5615375148305488,0.0,0.22416590938106148,1.2851848640625934,0.03305357140405554,0.0,-0.27102627425960496,0.22326564842094274,0.6305792693360107,14.0,0.29451216234584104,0.014070805279634991,0.15062305898749054,0.16239434796263863,347.07,3.0,0.0,0.6910440616569955,519.7410963862228,0.0,8.32,-0.21302063820212588
"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)",0.0,0.0,777.2370958272097,3.7037037037037037,0.2848979044069867,1.0,0.0,0.0,962.5604916834717,0.0,0.0,887.1414528681643,0.0,1.093412988719178,4.0,260.0,1.511857892036909,1.5000000000000004,714.383355211548,2.0614230574675854,1.422757321796025,2.3891196974997495,0.0,3.0,0.5,0.06804138174397717,0.0,0.0,0.1642664266089148,4.061261981781177,151.0,0.0,0.0,0.0,8.389747767900651,4.508042994920528,0.013975424859373685,22.51285141423118,2.631523322475927,2.0,0.028346642276159684,16.613589971242554,1.4589309802983224,61.14,0.16666666666666669,3.5319180375750503,1.015113500109301,1.88988157484231,23.736829156506644,0.5494590213894661,1.0,20.731542543861096,3.1860519445623,0.3342652286538706,0.0,23.071573408366813,0.8568595997809247,0.36242739109006045,0.0,0.3075586474582044,2.0799706883561937,0.10820955044683221,0.0,-0.35316479107336657,0.46173852900609064,1.4998060543625225,11.076923076923077,0.6106504100245024,0.37957962504599396,0.23267483764677221,0.4438044125141078,469.06,3.0,0.0,0.696923425058676,716.777685978058,0.0,5.671875,-0.3920023585504059
"InChI=1S/C7H13N3O3S/c1-8-7(12)13-9-5(14-4)6(11)10(2)3/h1-4H3,(H,8,12)",1.0,0.07064354645876383,746.9915755448608,5.4809688581314875,-0.033590541803523784,1.0,0.28867513459481287,0.0,879.0580914303741,2.0,0.0,869.5121818190307,1.0,2.2230579177216416,0.0,337.0,0.0,1.3103706971044482,706.5172999645993,2.1979064898552565,3.5361020266684324,2.366865145017085,0.0,2.0,0.5,0.0,0.16666666666666669,1.0,0.0,0.33333333333333337,161.0,1.0,0.7071067811865474,0.0,9.330095834319149,4.914007760886093,0.0,23.531101048902293,3.1925582559997534,0.0,0.0,18.886399536652945,1.8198299088233876,99.79,0.0,4.046694472334371,0.947014762099205,0.0,23.38082405612239,0.48093579345069626,0.0,27.879779789856112,2.0858500517578746,0.12308066440987583,1.0,22.164471843566428,0.6183351085516087,0.500825946025428,0.0,0.739745228121485,1.2175493676617992,0.0519884398960486,0.0,-0.3573164037308509,0.8024677804756112,0.7227759819499027,14.0,0.38033695638617954,0.07558575744488089,0.44700581263142064,0.7869469781973969,494.07,3.0,0.0,0.9811252243246882,718.6968610673522,0.0,7.3125,0.11751795104878632
"InChI=1S/C7H13O6P/c1-6(5-7(8)10-2)13-14(9,11-3)12-4/h5H,1-4H3",0.0,0.0,409.793469669983,5.4809688581314875,0.2150464137103164,1.0,0.0,2.0,493.08293044390877,1.0,0.0,467.02152660742183,2.0,2.510636633029605,1.0,332.0,1.1429761718795197,0.4999999999999999,411.9276433930818,3.209718880682222,2.4294656967603077,2.5780157039198657,0.0,0.0,0.5,0.0,0.16666666666666669,0.0,0.0,0.0,159.0,0.0,2.4294656967603077,0.0,8.697996067186828,4.010460824979392,0.0,24.297228013530734,2.634299551935703,0.0,0.0,24.733558150336346,1.577339450876504,80.87000000000002,0.0,4.050029052725671,0.7528181987134899,2.0,28.486170025811003,0.3401507172805582,0.0,24.47487494838608,2.3168228508775024,0.08798476596627883,4.0,20.78451351097378,0.8683133187031052,0.8319885862218367,0.0,0.5526887386131181,1.1207604386544725,0.04613962479352426,1.853144011581398,-0.7632722005814264,0.5797886831981338,0.5202200572599405,14.0,0.34344336196330355,0.6668852663201804,0.34862919408062376,0.4377448930944647,494.07,2.0,0.01864322375594512,1.5041269644862627,395.755301905304,1.0,6.477508650519031,-0.4129699404208676
"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)",1.0,0.0,651.5278989052125,6.25,-0.025128229057630975,1.0,0.0,0.0,762.1697282867432,1.0,0.0,582.9863644790955,0.0,1.9499060610132921,2.0,233.0,1.437216447852337,0.0,389.8642295874023,1.5555684937158856,0.9611245656539016,0.8379059908594818,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.33333333333333337,135.0,1.0,0.4999999999999999,0.0,8.551984217544954,4.665116853496261,0.0,20.396651712084864,4.099997743585372,0.0,0.0,16.055761759979045,2.3729570410896894,79.48,0.0,3.2045070218971734,0.4423904557443812,0.33333333333333337,21.555203686826577,0.19666966340376157,0.0,16.35553696712383,1.309978016267146,0.12006793977675537,1.0,12.05122118259128,0.7569004467665896,0.2909974372457524,0.0,1.8238886754026522,0.7198613524427102,0.0668714962287735,0.0,-0.21339309664112385,1.0384974562789844,0.6159990997834306,12.0,0.31856842356207543,0.0626395238284905,1.6489791805235412,0.30036259188273945,493.05,1.0,0.35355339059327373,1.4957819157813603,637.7035971850281,0.0,5.612244897959184,0.04466623817156739
"InChI=1S/C7H14NO5P/c1-6(5-7(9)8-2)13-14(10,11-3)12-4/h5H,1-4H3,(H,8,9)",0.0,0.0,450.10488548638915,5.4809688581314875,0.16085403665478315,1.0,0.0,2.0,538.5328853150024,1.0,0.0,507.81814329882803,1.0,2.510636633029605,1.0,332.0,1.1429761718795197,0.4999999999999999,447.38923570167526,3.209718880682222,2.4294656967603077,2.5780157039198657,0.0,1.0,0.5,0.0,0.16666666666666669,0.0,0.0,0.0,159.0,1.0,1.853144011581398,0.0,8.775926677259019,4.088391435051582,0.0,23.882739279266268,2.6929455004720624,0.0,0.0,24.40173806243211,1.616502746894816,87.16000000000001,0.0,4.050029052725671,0.774282775964228,2.0,28.09925254338455,0.35115294647296696,0.0,24.308964904433964,2.316822850877503,0.09330046283709209,3.0,20.397596028547333,0.6701839176394491,0.70724447565145,0.0,0.5671224953428587,1.1207604386544725,0.05054342658847576,1.5000000000000004,-0.6823322905940019,0.5959674784249277,0.5202200572599405,14.0,0.34344336196330355,0.625794880246198,0.3582516985671175,0.45318086319290163,547.07,2.0,0.01864322375594512,1.5041269644862627,435.81901791116337,1.0,6.477508650519031,-0.3759816206528053
"InChI=1S/C7H16N/c1-8(2)6-4-3-5-7-8/h3-7H2,1-2H3",0.0,,,1.8,0.0004236533376321527,0.3333333333333333,,0.0,,0.0,3.0,,0.0,,2.0,59.0,3.7010717248715337,0.0,,,0.0,,,0.0,0.25,,0.0,0.0,,0.0,52.0,0.0,0.0,,,,,8.359980301276481,,5.0,,8.664727732721781,,0.0,6.083643418932058,,,0.0,11.332363866360891,,0.0,7.166181933180445,,,0.0,2.0,0.5157921660480066,0.11398367858776823,0.0,,,,0.0,-0.08176702968518726,,,6.125,,0.01831478429202792,,,520.01,0.0,,,,0.0,2.0826446280991737,0.006036752761643077
"InChI=1S/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3",2.0,0.0,953.2951696801148,6.122448979591836,0.1252579669871426,1.0,0.0,0.0,1078.3767968843993,0.0,0.0,1023.5496255979002,0.0,1.4356601717798214,6.0,280.0,3.347586388884488,0.0,869.6741381091916,2.3106601717798205,0.0,1.7329951288348662,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,11.660799106348557,9.678527284143911,0.0,38.58261098671698,9.972249504052925,4.0,0.0,34.31393845159494,8.145296659257196,110.96000000000001,1.4708413767164403,3.0909902576697323,7.65718625377326,0.0,44.326060946362205,4.776201207776944,0.0,34.389706251461085,2.3838834764831844,3.5682943277082244,2.0,35.832501541615926,0.6267606553724674,0.3241949620836116,0.0,3.2920358442763042,1.1035533905932737,1.161895003862225,0.4999999999999999,-0.25776343569270926,5.677506311992911,0.7285533905932737,13.0,0.25,0.20785768615614036,2.1908902300206643,4.923559547193578,685.06,0.0,0.3354101966249685,0.9267766952966369,920.4534686134948,1.0,7.408163265306122,-0.1964682987707881
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0.0,0.08183170883849714,652.1094197285157,1.75,0.06788943578860497,0.6666666666666666,0.19245008972987526,5.0,824.4507145195314,0.0,0.0,703.993299859375,0.0,1.5395305738363136,0.0,112.0,0.0,2.381101577952299,316.7963575546876,2.459076175715569,0.0,2.3570564387502557,0.0,0.0,0.4,0.06804138174397717,0.0,0.0,0.18419528592042317,0.0,74.0,0.0,0.0,0.0,6.447051241124199,3.351517152633953,0.024056261216234408,25.78588011697404,2.5228623367548284,0.0,0.0665826031671153,14.069723212056637,1.7045064723894126,23.79,2.94168275343288,3.252139974337878,1.0865893549040797,6.447419590941251,20.973264490932827,0.43331795272517465,2.0,25.042987702989464,2.5555325468776138,0.21654073789300152,0.0,24.83345823429626,0.664355317791779,0.15683866583903028,3.0,0.7581653826045129,1.2387695676514365,0.03803552335229743,0.0,-0.021807435246853066,0.971701959604253,0.6529083687052708,8.1,0.19245008972987526,-0.015119805186935249,0.38982683535398854,0.8136121497244608,79.03,0.0,0.0,0.6074872842789861,588.4235902392579,0.0,3.408284023668639,-0.10863267269683129
"InChI=1S/C7H4Cl3NO3/c8-3-1-4(9)7(11-6(3)10)14-2-5(12)13/h1H,2H2,(H,12,13)",0.0,0.11287321550923307,885.4278717474671,3.5918367346938775,-0.12882292218896121,1.0,0.2845177968644246,3.0,1158.0645435839842,3.0,0.0,1056.5752405918277,1.0,2.3335885844434943,1.0,318.0,0.0,3.879176139868348,679.5862212608032,2.555707105923689,0.0,3.8532644887042147,0.0,0.0,0.5,0.05555555555555555,0.4999999999999999,0.0,0.20595037673258595,0.0,168.0,1.0,0.6666666666666667,0.0,8.89706107938686,4.499487606633036,0.01613743060919757,39.82223713144566,3.402805753266141,1.0,0.06148245756203911,21.516043693205432,2.130637851432441,58.89,0.25,4.309054624475318,1.204275998749248,4.591756778961349,34.18981719529438,0.7727028475454233,3.0,43.88215152565041,2.903129052901422,0.3406726138027915,1.0,32.614520317310244,0.8713035946218989,0.5448026802690864,1.0,1.0023230921055948,2.3603173344929735,0.1116407942330745,0.0,-0.2559130159639875,0.9800713926504941,1.3807271437205086,12.071428571428571,0.6119217934855234,-0.1260597436626433,0.5642932424588201,1.2539327815130668,142.07,1.0,0.0,1.2820217383170773,792.0837472135164,0.0,5.185595567867036,0.18531589307046142
"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)",0.0,0.13166703850133318,872.1116774516909,3.2256,-0.029001774117575797,1.0,0.4545300305751142,3.0,1177.17869367804,3.0,0.0,1144.9131935855105,1.0,3.0884539921182204,1.0,372.0,0.0,6.534047077809358,740.2188367193606,3.9251062078339993,0.0,5.5696556876902275,0.0,0.0,0.5,0.045360921162651446,0.4999999999999999,0.0,0.213518699605585,0.0,181.0,1.0,0.6666666666666667,0.0,8.641132133368407,4.332847999028995,0.013975424859373685,34.97131166391601,3.1877481373242817,1.0,0.05074965725631686,21.312240098472945,2.0987016330904673,84.91,0.0,5.08916994431499,1.1121465161515365,2.144261316715227,33.554543162371594,0.5957838615459004,2.0,46.3152644596473,3.2613287060787948,0.3086385988690104,1.0,34.17767917645431,0.924441961422116,0.6158007290367338,0.0,1.025639712971636,2.3948377587748757,0.10356526542081226,0.0,-0.26510595440762497,1.1023985827082703,1.5146440051628578,13.066666666666666,0.787346453388089,-0.14097030888583684,0.5080931200376035,1.1837426993445317,190.08,1.0,0.0,1.3879674867156715,768.0392334230501,0.0,5.365079365079365,0.10952824072320445
