InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",7.0,16.0,0.0,12.0,12.0,0.11039999999999972,2.0,2.45,0.7310000000000003,0.0,0.012188159999999938,75.4601,0.0,2.0,27.0
"InChI=1S/C12H12N4/c1-7-6-9-8(4-3-5-14-9)10-11(7)16(2)12(13)15-10/h3-6H,1-2H3,(H2,13,15)",14.0,18.0,0.0,10.0,11.0,0.2735,0.0,2.3400000000000003,1.9240000000000002,0.0,0.07480225000000001,66.69170000000001,0.0,2.0,28.0
"InChI=1S/C12H13N3O/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7H,13-15H2",16.0,17.0,0.0,12.0,12.0,-1.8309999999999997,2.0,2.3400000000000003,0.2649999999999999,0.0,3.3525609999999992,72.8355,0.0,3.0,29.0
"InChI=1S/C12H13NO4S2/c1-2-18(14,15)11-7-8-12(19(13,16)17)10-6-4-3-5-9(10)11/h3-8H,2H2,1H3,(H2,13,16,17)",17.0,20.0,5.0,10.0,11.0,0.045200000000000795,3.0,2.0100000000000002,-0.21600000000000014,0.0,0.002043040000000072,77.5819,2.0,1.0,32.0
"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",6.0,17.0,2.0,6.0,6.0,-0.0487999999999999,2.0,2.3400000000000003,1.868,0.0,0.0023814399999999903,62.292399999999994,2.0,2.0,30.0
"InChI=1S/C12H14N4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,13-16H2",16.0,17.0,0.0,12.0,12.0,-2.3712,1.0,2.3400000000000003,-0.5820000000000001,0.0,5.62258944,73.6706,0.0,4.0,30.0
"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",17.0,20.0,4.0,12.0,12.0,-1.0115999999999996,3.0,2.0100000000000002,-0.7339999999999998,0.0,1.0233345599999992,78.30579999999999,0.0,2.0,33.0
"InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2",8.0,18.0,2.0,6.0,6.0,-0.16099999999999903,6.0,2.3400000000000003,0.5700000000000001,0.0,0.025920999999999687,61.732200000000006,0.0,0.0,30.0
"InChI=1S/C12H15N3O5/c13-9(12(19)20)5-6-10(16)15-14-8-3-1-7(2-4-8)11(17)18/h1-4,9,14H,5-6,13H2,(H,15,16)(H,17,18)(H,19,20)",13.0,20.0,11.0,6.0,6.0,-1.3808,7.0,1.9000000000000004,-2.0740000000000003,0.0,1.90660864,70.28410000000001,5.0,5.0,35.0
"InChI=1S/C12H15N3O6/c1-6-9(13(16)17)7(2)11(15(20)21)8(12(3,4)5)10(6)14(18)19/h1-5H3",15.0,21.0,4.0,6.0,6.0,2.1765999999999996,4.0,1.7900000000000003,3.389999999999999,0.0,4.737587559999999,64.067,3.0,0.0,36.0
